sales_id,order_id,product_id,price_per_unit,quantity_x,total_price,product_type,product_name,size,colour,price,quantity_y,description,customer_id,customer_name,gender,age,home_address,zip_code,city,state,country,status,payment,order_date,delivery_date,delivery_time,age_group
50,12,846,113,3,339,Trousers,Chinos,S,orange,100,58,"A orange coloured, S sized, Chinos Trousers",120,fulan 120,Prefer not to say,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,Active,55507.0,2021-06-30,2021-07-11,11.0,Adults
51,12,180,98,1,98,Shirt,Camp Collared,XS,orange,112,52,"A orange coloured, XS sized, Camp Collared Shirt",120,fulan 120,Prefer not to say,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,Active,55507.0,2021-06-30,2021-07-11,11.0,Adults
52,13,217,106,2,212,Shirt,Chambray,M,orange,105,43,"A orange coloured, M sized, Chambray Shirt",204,fulan 204,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Active,57810.0,2021-10-15,2021-10-31,16.0,Adults
53,13,95,118,3,354,Shirt,Flannel,XS,indigo,96,46,"A indigo coloured, XS sized, Flannel Shirt",204,fulan 204,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Active,57810.0,2021-10-15,2021-10-31,16.0,Adults
54,13,800,91,2,182,Jacket,Pullover,XS,violet,114,61,"A violet coloured, XS sized, Pullover Jacket",204,fulan 204,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Active,57810.0,2021-10-15,2021-10-31,16.0,Adults
55,13,835,117,1,117,Jacket,Shearling,XS,violet,95,75,"A violet coloured, XS sized, Shearling Jacket",204,fulan 204,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Active,57810.0,2021-10-15,2021-10-31,16.0,Adults
56,13,1249,112,2,224,Trousers,Tracksuit Bottoms,XL,blue,91,68,"A blue coloured, XL sized, Tracksuit Bottoms Trousers",204,fulan 204,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Active,57810.0,2021-10-15,2021-10-31,16.0,Adults
57,13,753,109,2,218,Jacket,Peacoat,L,green,102,73,"A green coloured, L sized, Peacoat Jacket",204,fulan 204,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Active,57810.0,2021-10-15,2021-10-31,16.0,Adults
58,13,114,92,3,276,Shirt,Denim,XL,orange,115,67,"A orange coloured, XL sized, Denim Shirt",204,fulan 204,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Active,57810.0,2021-10-15,2021-10-31,16.0,Adults
59,14,1202,105,2,210,Trousers,Pleated,M,yellow,90,54,"A yellow coloured, M sized, Pleated Trousers",957,fulan 957,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,Active,21270.0,2021-03-29,2021-04-12,14.0,Seniors
60,14,227,106,3,318,Shirt,Chambray,M,green,105,56,"A green coloured, M sized, Chambray Shirt",957,fulan 957,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,Active,21270.0,2021-03-29,2021-04-12,14.0,Seniors
61,14,108,92,2,184,Shirt,Denim,L,red,115,52,"A red coloured, L sized, Denim Shirt",957,fulan 957,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,Active,21270.0,2021-03-29,2021-04-12,14.0,Seniors
62,14,91,118,3,354,Shirt,Flannel,S,blue,96,43,"A blue coloured, S sized, Flannel Shirt",957,fulan 957,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,Active,21270.0,2021-03-29,2021-04-12,14.0,Seniors
63,14,909,94,2,188,Trousers,Cords,XL,violet,113,73,"A violet coloured, XL sized, Cords Trousers",957,fulan 957,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,Active,21270.0,2021-03-29,2021-04-12,14.0,Seniors
64,15,699,113,3,339,Jacket,Parka,XL,violet,119,80,"A violet coloured, XL sized, Parka Jacket",468,fulan 468,Prefer not to say,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,Active,15488.0,2021-09-22,2021-10-08,16.0,Seniors
65,15,1195,105,3,315,Trousers,Pleated,XS,orange,90,74,"A orange coloured, XS sized, Pleated Trousers",468,fulan 468,Prefer not to say,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,Active,15488.0,2021-09-22,2021-10-08,16.0,Seniors
66,15,291,105,2,210,Shirt,Cuban Collar,S,yellow,93,41,"A yellow coloured, S sized, Cuban Collar Shirt",468,fulan 468,Prefer not to say,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,Active,15488.0,2021-09-22,2021-10-08,16.0,Seniors
67,15,972,97,3,291,Trousers,Slim-Fit,M,indigo,119,67,"A indigo coloured, M sized, Slim-Fit Trousers",468,fulan 468,Prefer not to say,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,Active,15488.0,2021-09-22,2021-10-08,16.0,Seniors
68,15,1212,105,2,210,Trousers,Pleated,M,blue,90,66,"A blue coloured, M sized, Pleated Trousers",468,fulan 468,Prefer not to say,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,Active,15488.0,2021-09-22,2021-10-08,16.0,Seniors
69,16,7,96,3,288,Shirt,Oxford Cloth,M,orange,114,77,"A orange coloured, M sized, Oxford Cloth Shirt",564,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,36479.0,2021-07-07,2021-07-08,1.0,Adults
70,16,381,94,3,282,Shirt,Henley,S,violet,92,43,"A violet coloured, S sized, Henley Shirt",564,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,36479.0,2021-07-07,2021-07-08,1.0,Adults
71,16,17,96,2,192,Shirt,Oxford Cloth,M,green,114,60,"A green coloured, M sized, Oxford Cloth Shirt",564,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,36479.0,2021-07-07,2021-07-08,1.0,Adults
72,16,297,105,2,210,Shirt,Cuban Collar,M,green,93,45,"A green coloured, M sized, Cuban Collar Shirt",564,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,36479.0,2021-07-07,2021-07-08,1.0,Adults
73,16,28,96,1,96,Shirt,Oxford Cloth,L,indigo,114,70,"A indigo coloured, L sized, Oxford Cloth Shirt",564,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,36479.0,2021-07-07,2021-07-08,1.0,Adults
74,16,934,96,1,96,Trousers,Drawstring,XL,blue,104,60,"A blue coloured, XL sized, Drawstring Trousers",564,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,36479.0,2021-07-07,2021-07-08,1.0,Adults
75,16,324,109,3,327,Shirt,Mandarin Collar,XL,orange,108,59,"A orange coloured, XL sized, Mandarin Collar Shirt",564,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,36479.0,2021-07-07,2021-07-08,1.0,Adults
76,16,578,100,2,200,Jacket,Bomber,L,green,90,78,"A green coloured, L sized, Bomber Jacket",564,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,36479.0,2021-07-07,2021-07-08,1.0,Adults
77,16,273,95,1,95,Shirt,Polo,L,indigo,117,60,"A indigo coloured, L sized, Polo Shirt",564,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,36479.0,2021-07-07,2021-07-08,1.0,Adults
78,17,132,92,2,184,Shirt,Denim,M,indigo,115,56,"A indigo coloured, M sized, Denim Shirt",614,fulan 614,Prefer not to say,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,Active,51822.0,2021-02-09,2021-02-11,2.0,Adults
79,17,791,91,2,182,Jacket,Pullover,S,blue,114,73,"A blue coloured, S sized, Pullover Jacket",614,fulan 614,Prefer not to say,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,Active,51822.0,2021-02-09,2021-02-11,2.0,Adults
80,17,463,118,1,118,Jacket,Puffer,L,orange,110,66,"A orange coloured, L sized, Puffer Jacket",614,fulan 614,Prefer not to say,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,Active,51822.0,2021-02-09,2021-02-11,2.0,Adults
81,17,1066,93,2,186,Trousers,Joggers,S,green,94,76,"A green coloured, S sized, Joggers Trousers",614,fulan 614,Prefer not to say,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,Active,51822.0,2021-02-09,2021-02-11,2.0,Adults
82,18,35,104,1,104,Shirt,Dress,XS,red,119,63,"A red coloured, XS sized, Dress Shirt",299,fulan 299,Prefer not to say,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Active,22902.0,2021-01-01,2021-01-03,2.0,Adults
83,18,970,97,3,291,Trousers,Slim-Fit,XS,indigo,119,74,"A indigo coloured, XS sized, Slim-Fit Trousers",299,fulan 299,Prefer not to say,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Active,22902.0,2021-01-01,2021-01-03,2.0,Adults
84,18,285,105,1,105,Shirt,Cuban Collar,XS,orange,93,62,"A orange coloured, XS sized, Cuban Collar Shirt",299,fulan 299,Prefer not to say,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Active,22902.0,2021-01-01,2021-01-03,2.0,Adults
85,18,1110,115,3,345,Trousers,Cropped,XS,indigo,99,55,"A indigo coloured, XS sized, Cropped Trousers",299,fulan 299,Prefer not to say,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Active,22902.0,2021-01-01,2021-01-03,2.0,Adults
86,18,452,107,1,107,Jacket,Denim,M,violet,92,43,"A violet coloured, M sized, Denim Jacket",299,fulan 299,Prefer not to say,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Active,22902.0,2021-01-01,2021-01-03,2.0,Adults
87,19,71,118,1,118,Shirt,Flannel,S,red,96,59,"A red coloured, S sized, Flannel Shirt",513,fulan 513,Prefer not to say,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,Active,56754.0,2021-08-30,2021-09-10,11.0,Adults
88,19,347,109,2,218,Shirt,Mandarin Collar,M,violet,108,76,"A violet coloured, M sized, Mandarin Collar Shirt",513,fulan 513,Prefer not to say,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,Active,56754.0,2021-08-30,2021-09-10,11.0,Adults
89,19,316,109,2,218,Shirt,Mandarin Collar,S,red,108,48,"A red coloured, S sized, Mandarin Collar Shirt",513,fulan 513,Prefer not to say,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,Active,56754.0,2021-08-30,2021-09-10,11.0,Adults
90,19,809,117,3,351,Jacket,Shearling,XL,red,95,42,"A red coloured, XL sized, Shearling Jacket",513,fulan 513,Prefer not to say,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,Active,56754.0,2021-08-30,2021-09-10,11.0,Adults
91,19,682,113,3,339,Jacket,Parka,M,green,119,71,"A green coloured, M sized, Parka Jacket",513,fulan 513,Prefer not to say,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,Active,56754.0,2021-08-30,2021-09-10,11.0,Adults
92,20,596,112,2,224,Jacket,Cardigan,S,red,118,47,"A red coloured, S sized, Cardigan Jacket",789,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,45129.0,2021-01-13,2021-01-20,7.0,Adults
93,20,85,118,3,354,Shirt,Flannel,XS,green,96,55,"A green coloured, XS sized, Flannel Shirt",789,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,45129.0,2021-01-13,2021-01-20,7.0,Adults
94,20,571,100,1,100,Jacket,Bomber,S,yellow,90,64,"A yellow coloured, S sized, Bomber Jacket",789,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,45129.0,2021-01-13,2021-01-20,7.0,Adults
95,20,1114,115,3,345,Trousers,Cropped,XL,indigo,99,58,"A indigo coloured, XL sized, Cropped Trousers",789,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,45129.0,2021-01-13,2021-01-20,7.0,Adults
96,20,514,102,3,306,Jacket,Windbreaker,XL,blue,109,59,"A blue coloured, XL sized, Windbreaker Jacket",789,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,45129.0,2021-01-13,2021-01-20,7.0,Adults
97,20,681,113,1,113,Jacket,Parka,S,green,119,62,"A green coloured, S sized, Parka Jacket",789,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,45129.0,2021-01-13,2021-01-20,7.0,Adults
98,20,1114,115,1,115,Trousers,Cropped,XL,indigo,99,58,"A indigo coloured, XL sized, Cropped Trousers",789,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,45129.0,2021-01-13,2021-01-20,7.0,Adults
99,21,7,96,1,96,Shirt,Oxford Cloth,M,orange,114,77,"A orange coloured, M sized, Oxford Cloth Shirt",124,fulan 124,Prefer not to say,54,65 Eli AvenueApt. 473,4983,Donnellyfort,New South Wales,Australia,Active,11261.0,2021-04-04,2021-04-17,13.0,Adults
